Player_Name,TeamName_bat,Matches_bat,TotalRuns,Balls,Dotballs,StrikeRate_bat,Fours,Sixes,Outs,NotOuts,BattingAverage,FiftyPlusRuns,Centuries,HighestScore,Year,TeamName_bowl,Matches_bowl,TotalRunsConceded,DotBallsBowled,ScoringBallsBowled,BowlingAverage,StrikeRate_bowl,BoundaryPercentage,BoundaryFrequency,EconomyRate,OversBowled,Wides,NoBalls,Wickets,Maidens,FourWickets,FiveWickets,Hattricks,Team Name,Price,Price_Cr
Ayush Badoni,Lucknow Super Giants,13.0,161.0,130.0,48.0,123.84,11.0,7.0,8.0,3.0,20.13,1.0,0.0,54,2022,Lucknow Super Giants,13.0,11.0,4.0,8.0,5.5,6.0,0.0,0.0,5.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,Lucknow Supergiants,0.2 crore,0.2
Ayush Badoni,Lucknow Super Giants,13.0,161.0,130.0,48.0,123.84,11.0,7.0,8.0,3.0,20.13,1.0,0.0,54,2022,Lucknow Super Giants,13.0,11.0,4.0,8.0,5.5,6.0,0.0,0.0,5.5,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,Lucknow Supergiants,0.2,0.2
Ayush Badoni,Lucknow Super Giants,15.0,238.0,172.0,56.0,138.37,13.0,12.0,10.0,2.0,23.80,1.0,0.0,59*,2023,,,,,,,,,,,,,,,,,,,Lucknow Supergiants,0.2 crore,0.2
Ayush Badoni,Lucknow Super Giants,14.0,235.0,171.0,47.0,137.42,22.0,5.0,8.0,4.0,29.38,2.0,0.0,55*,2024,,,,,,,,,,,,,,,,,,,Lucknow Supergiants,0.2 crore,0.2
Ayush Badoni,Lucknow Super Giants,14.0,329.0,222.0,65.0,148.19,27.0,14.0,10.0,1.0,32.90,2.0,0.0,74,2025,Lucknow Super Giants,14.0,13.0,3.0,7.0,6.5,5.0,46.15,10.0,7.8,1.4,0.0,0.0,2.0,0.0,0.0,0.0,,Lucknow Supergiants,4 crore,4.0
Azmatullah Omarzai,Gujarat Titans,7.0,42.0,33.0,10.0,127.27,2.0,2.0,4.0,0.0,10.50,0.0,0.0,17,2024,Gujarat Titans,7.0,186.0,57.0,74.0,46.5,31.5,77.41,3.81,8.85,21.0,5.0,0.0,4.0,0.0,0.0,0.0,,Gujarat Titans,3 crore,3.0
Basil Thampi,,,,,,,,,,,,,,,2022,Mumbai Indians,5.0,152.0,41.0,61.0,30.4,19.2,71.05,4.36,9.5,16.0,6.0,0.0,5.0,1.0,0.0,0.0,,Mumbai Indians,0.3,0.3
Bhanuka Rajapaksa,Punjab Kings,9.0,206.0,129.0,45.0,159.68,16.0,13.0,9.0,0.0,22.89,0.0,0.0,43,2022,,,,,,,,,,,,,,,,,,,Punjab Kings,0.5 crore,0.5
Bhanuka Rajapaksa,Punjab Kings,9.0,206.0,129.0,45.0,159.68,16.0,13.0,9.0,0.0,22.89,0.0,0.0,43,2022,,,,,,,,,,,,,,,,,,,Punjab Kings,0.5,0.5
Bhanuka Rajapaksa,Punjab Kings,4.0,71.0,62.0,25.0,114.51,6.0,2.0,3.0,1.0,23.67,1.0,0.0,50,2023,,,,,,,,,,,,,,,,,,,Punjab Kings,0.5 crore,0.5
Bhuvneshwar Kumar,Sunrisers Hyderabad,14.0,24.0,26.0,11.0,92.3,3.0,0.0,3.0,3.0,8.00,0.0,0.0,8,2022,Sunrisers Hyderabad,14.0,383.0,139.0,191.0,31.91,26.08,53.26,6.95,7.34,52.1,15.0,2.0,12.0,2.0,0.0,0.0,,Sunrisers Hyderabad,4.2,4.2
Cameron Green,Mumbai Indians,16.0,452.0,282.0,79.0,160.28,40.0,22.0,9.0,7.0,50.22,2.0,1.0,100*,2023,Mumbai Indians,16.0,361.0,88.0,151.0,60.16,38.0,67.59,4.47,9.5,38.0,10.0,1.0,6.0,0.0,0.0,0.0,,Mumbai Indians,17.5 crore,17.5
Cameron Green,Royal Challengers Bengaluru,13.0,255.0,178.0,53.0,143.25,22.0,10.0,8.0,4.0,31.88,0.0,0.0,46,2024,Royal Challengers Bengaluru,13.0,303.0,72.0,151.0,30.3,21.1,58.74,5.41,8.61,35.1,12.0,0.0,10.0,0.0,0.0,0.0,,Royal Challengers Bangalore,17.5 crore,17.5
Chetan Sakariya,Rajasthan Royals,14.0,16.0,25.0,,64.0,2.0,0.0,5.0,1.0,3.2,0.0,0.0,7,2021,Rajasthan Royals,14.0,426.0,113.0,,30.42,22.28,,,8.19,52.0,,,14.0,1.0,0.0,0.0,0.0,Rajasthan Royals,1.2 crore,1.2
Chetan Sakariya,Rajasthan Royals,14.0,16.0,25.0,,64.0,2.0,0.0,5.0,1.0,3.2,0.0,0.0,7,2021,Rajasthan Royals,14.0,426.0,113.0,,30.42,22.28,,,8.19,52.0,,,14.0,1.0,0.0,0.0,0.0,Rajasthan Royals,"1,20,00,000",1.2
Chetan Sakariya,,,,,,,,,,,,,,,2022,Delhi Capitals,3.0,84.0,21.0,50.0,28.0,22.0,45.23,8.25,7.63,11.0,5.0,0.0,3.0,0.0,0.0,0.0,,Delhi Capitals,4.2 crore,4.2
Chetan Sakariya,,,,,,,,,,,,,,,2022,Delhi Capitals,3.0,84.0,21.0,50.0,28.0,22.0,45.23,8.25,7.63,11.0,5.0,0.0,3.0,0.0,0.0,0.0,,Delhi Capitals,4.2,4.2
Chetan Sakariya,Delhi Capitals,2.0,4.0,6.0,5.0,66.66,1.0,0.0,1.0,1.0,4.00,0.0,0.0,4,2023,Delhi Capitals,2.0,89.0,17.0,38.0,29.66,16.0,67.41,4.0,11.12,8.0,6.0,1.0,3.0,0.0,0.0,0.0,,Delhi Capitals,4.2 crore,4.2
Chris Jordan,Chennai Super Kings,4.0,11.0,8.0,2.0,137.5,0.0,0.0,1.0,1.0,11.00,0.0,0.0,6*,2022,Chennai Super Kings,4.0,135.0,23.0,57.0,67.5,38.5,63.7,4.27,10.51,12.5,1.0,2.0,2.0,0.0,0.0,0.0,,Chennai Super Kings,3.6,3.6
Colin Ingram,Delhi Capitals,12.0,184.0,154.0,,119.48,20.0,5.0,10.0,2.0,18.4,0.0,0.0,47,2019,,,,,,,,,,,,,,,,,,,Delhi Capitals,6.4 crore,6.4
Dan Christian,Royal Challengers Bangalore,9.0,14.0,24.0,,58.33,1.0,0.0,6.0,1.0,2.33,0.0,0.0,9,2021,Royal Challengers Bangalore,9.0,155.0,29.0,,38.75,25.0,,,9.3,16.0,,,4.0,0.0,0.0,0.0,0.0,Royal Challengers Bangalore,"4,80,00,000",4.8
Daniel Sams,Mumbai Indians,11.0,38.0,36.0,18.0,105.55,1.0,3.0,7.0,3.0,5.43,0.0,0.0,15,2022,Mumbai Indians,11.0,370.0,107.0,167.0,28.46,19.38,64.32,5.04,8.8,42.0,21.0,1.0,13.0,0.0,1.0,0.0,,Mumbai Indians,2.6 crore,2.6
Daniel Sams,Mumbai Indians,11.0,38.0,36.0,18.0,105.55,1.0,3.0,7.0,3.0,5.43,0.0,0.0,15,2022,Mumbai Indians,11.0,370.0,107.0,167.0,28.46,19.38,64.32,5.04,8.8,42.0,21.0,1.0,13.0,0.0,1.0,0.0,,Mumbai Indians,2.6,2.6
Darshan Nalkande,,,,,,,,,,,,,,,2022,Gujarat Titans,2.0,59.0,8.0,25.0,29.5,15.5,64.4,3.87,11.41,5.1,2.0,0.0,2.0,0.0,0.0,0.0,,Gujarat Titans,0.2,0.2
Daryl Mitchell,Rajasthan Royals,2.0,33.0,44.0,16.0,75.0,1.0,0.0,2.0,0.0,16.50,0.0,0.0,17,2022,,,,,,,,,,,,,,,,,,,Rajasthan Royals,0.75,0.75
Daryl Mitchell,Chennai Super Kings,13.0,318.0,223.0,59.0,142.6,27.0,10.0,11.0,2.0,28.91,2.0,0.0,63,2024,Chennai Super Kings,13.0,70.0,4.0,34.0,70.0,36.0,60.0,4.0,11.66,6.0,2.0,0.0,1.0,0.0,0.0,0.0,,Chennai Super Kings,14 crore,14.0
Dasun Shanaka,Gujarat Titans,3.0,26.0,26.0,12.0,100.0,2.0,1.0,2.0,1.0,13.00,0.0,0.0,17,2023,,,,,,,,,,,,,,,,,,,Gujarat Titans,0 crore,0.0
David Miller,Punjab Kings,3.0,74.0,64.0,,115.62,3.0,2.0,2.0,1.0,37.0,0.0,0.0,26,2018,,,,,,,,,,,,,,,,,,,Punjab Kings,3 crore,3.0
David Miller,Punjab Kings,10.0,213.0,164.0,,129.87,19.0,7.0,8.0,2.0,26.62,1.0,0.0,59*,2019,,,,,,,,,,,,,,,,,,,Punjab Kings,3 crore,3.0
David Miller,Gujarat Titans,16.0,481.0,337.0,95.0,142.72,32.0,23.0,7.0,9.0,68.71,2.0,0.0,94*,2022,,,,,,,,,,,,,,,,,,,Gujarat Titans,3 crore,3.0
David Miller,Gujarat Titans,16.0,481.0,337.0,95.0,142.72,32.0,23.0,7.0,9.0,68.71,2.0,0.0,94*,2022,,,,,,,,,,,,,,,,,,,Gujarat Titans,3.0,3.0
