StrikerName,PlayerId,Matches,PlayerDOB,RightHandedBat,Nationality,TCompetitionID,TStrikerID,TTeamID,TeamCode,TeamName,CompetitionID,TeamID,StrikerID,Innings,Extras,TotalRuns,Balls,Dotballs,StrikeRate,DBPercent,DBFreq,BdryFreq,BdryPercent,RPSS,ScoringBalls,Ones,Twos,Threes,Fours,Sixes,Most_4s,Most_6s,Outs,NotOuts,BattingAveragesss,FiftyPlusRuns,Centuries,DoubleCenturies,HighestScore,BattingAverage,Catches,Stumpings,Year,ClientPlayerID
Mohit Sharma,100,9,,,,10010,,,PBKS,Punjab Kings,10010,,,4,,10,13,,76.92,,,,,,,,,,1,0,1.0,0.0,1,3,10.0,0,0,,4*,10.0,,,2018,
Mujeeb Ur Rahman,134,11,,,,10010,,,PBKS,Punjab Kings,10010,,,2,,10,7,,142.85,,,,,,,,,,2,0,2.0,0.0,1,1,10.0,0,0,,10*,10.0,,,2018,
Jasprit Bumrah,9,14,,,,10010,,,MI,Mumbai Indians,10010,,,3,,10,11,,90.9,,,,,,,,,,1,0,1.0,0.0,1,2,10.0,0,0,,6*,10.0,,,2018,
Akshdeep Nath,199,1,,,,10010,,,PBKS,Punjab Kings,10010,,,1,,9,13,,69.23,,,,,,,,,,1,0,1.0,0.0,1,0,9.0,0,0,,9,9.0,,,2018,
Dhruv Shorey,92,1,,,,10010,,,CSK,Chennai Super Kings,10010,,,1,,8,9,,88.88,,,,,,,,,,0,1,0.0,1.0,1,0,8.0,0,0,,8,8.0,,,2018,
Prashant Chopra,187,1,,,,10010,,,RR,Rajasthan Royals,10010,,,1,,8,6,,133.33,,,,,,,,,,2,0,2.0,0.0,1,0,8.0,0,0,,8,8.0,,,2018,
Javon Searles,0,4,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,2,,8,6,,133.33,,,,,,,,,,0,1,0.0,1.0,1,1,8.0,0,0,,6*,8.0,,,2018,
Mohammad Shami,47,4,,,,10010,,,DC,Delhi Capitals,10010,,,1,,7,6,,116.66,,,,,,,,,,1,0,1.0,0.0,1,0,7.0,0,0,,7,7.0,,,2018,
Vinay Kumar,0,2,,,,10010,,,KKR,Kolkata Knight Riders,10010,,,1,,6,3,,200.0,,,,,,,,,,1,0,1.0,0.0,0,1,0.0,0,0,,6*,0.0,,,2018,
Shahbaz Nadeem,221,6,,,,10010,,,DC,Delhi Capitals,10010,,,1,,6,8,,75.0,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,6*,0.0,,,2018,
Dhawal Kulkarni,178,8,,,,10010,,,RR,Rajasthan Royals,10010,,,2,,6,7,,85.71,,,,,,,,,,0,0,0.0,0.0,1,1,6.0,0,0,,3*,6.0,,,2018,
Billy Stanlake,29,4,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,1,,5,2,,250.0,,,,,,,,,,1,0,1.0,0.0,0,1,0.0,0,0,,5*,0.0,,,2018,
Akila Dananjaya,609,1,,,,10010,,,MI,Mumbai Indians,10010,,,1,,4,5,,80.0,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,4*,0.0,,,2018,
Pawan Negi,208,2,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,2,,3,5,,60.0,,,,,,,,,,0,0,0.0,0.0,2,0,1.5,0,0,,3,1.5,,,2018,
Anureet Singh,0,3,,,,10010,,,RR,Rajasthan Royals,10010,,,1,,3,4,,75.0,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,3*,0.0,,,2018,
Basil Thampi,213,4,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,2,,3,6,,50.0,,,,,,,,,,0,0,0.0,0.0,1,1,3.0,0,0,,3,3.0,,,2018,
Barinder Sran,161,6,,,,10010,,,PBKS,Punjab Kings,10010,,,4,,3,7,,42.85,,,,,,,,,,0,0,0.0,0.0,1,3,3.0,0,0,,2,3.0,,,2018,
Umesh Yadav,21,14,,,,10010,,,RCB,Royal Challengers Bangalore,10010,,,5,,3,11,,27.27,,,,,,,,,,0,0,0.0,0.0,4,1,0.75,0,0,,1*,0.75,,,2018,
Siddarth Kaul,64,17,,,,10010,,,SRH,Sunrisers Hyderabad,10010,,,4,,3,14,,21.42,,,,,,,,,,0,0,0.0,0.0,3,1,1.0,0,0,,2,1.0,,,2018,
Imran Tahir,96,6,,,,10010,,,CSK,Chennai Super Kings,10010,,,1,,2,2,,100.0,,,,,,,,,,0,0,0.0,0.0,0,1,0.0,0,0,,2*,0.0,,,2018,
Mark Wood,315,1,,,,10010,,,CSK,Chennai Super Kings,10010,,,1,,1,3,,33.33,,,,,,,,,,0,0,0.0,0.0,1,0,1.0,0,0,,1,1.0,,,2018,
